Sr. No ,Device ID,Ethernet Jack #,MacID,Hostname,IP Address,Mites #,Mites Alpha #,Floor #,Room/Corridor #,Ceiling or Wall,Location Notes
1,1b003c000147343337373738,114-0-131-19,6c:0b:84:59:7a:c8,tcs-m-047.wifi.local.cmu.edu,172.26.234.25,047,AU,Floor 1,165,C1,
2,2d0027000147343337373738,114-0-131-18,6c:0b:84:59:78:17,tcs-m-048.wifi.local.cmu.edu,172.26.234.27,048,AV,Floor 1,165,C2,
3,310021000247343337373738,114-0-131-17,6c:0b:84:59:7b:c4,tcs-m-049.wifi.local.cmu.edu,172.26.234.29,049,AW,Floor 1,165,W1,
4,20003f000147343337373738,114-0-131-15,6c:0b:84:59:7a:35,tcs-m-050.wifi.local.cmu.edu,172.26.234.41,050,AX,Floor 1,164,W1,
5,38002b000547343339373536,114-0-131-16,6c:0b:84:59:74:98,tcs-m-051.wifi.local.cmu.edu,172.26.235.139,051,AY,Floor 1,164,C1,
6,3b003c000247343337373738,114-0-131-04,6c:0b:84:59:75:e5,tcs-m-052.wifi.local.cmu.edu,172.26.235.140,052,AZ,Floor 1,163,W1,
7,240033000147343337373738,114-0-131-03,6c:0b:84:59:7b:ff,tcs-m-053.wifi.local.cmu.edu,172.26.235.145,053,BA,Floor 1,162,W1,
8,240046000147343337373738,114-0-131-02,6c:0b:84:59:7c:0f,tcs-m-059.wifi.local.cmu.edu,172.26.234.42,059,BG,Floor 1,161,W1,
9,37003d000447343337373738,114-0-131-01,6c:0b:84:59:1b:8a,tcs-m-060.wifi.local.cmu.edu,172.26.234.43,060,BH,Floor 1,160,W1,
10,2e0017000147343337373738,114-0-131-24,6c:0b:84:59:76:fd,tcs-m-073.wifi.local.cmu.edu,172.26.235.141,073,BU,Floor 1,172,W1,
11,3b002f000547343339373536,114-0-132-01,6c:0b:84:59:78:a1,tcs-m-074.wifi.local.cmu.edu,172.26.235.142,074,BV,Floor 1,171,W1,
12,30003c000247343337373738,114-0-132-02,6c:0b:84:59:79:d1,tcs-m-079.wifi.local.cmu.edu,172.26.235.143,079,CA,Floor 1,170,W1,
13,20003d000147343337373738,114-0-131-22,6c:0b:84:59:7a:3b,tcs-m-080.wifi.local.cmu.edu,172.26.235.144,080,CB,Floor 1,150,C1,KITCHEN/COPY+PRINT
14,3f0026000c47363330353437,114-0-131-21,e0:4f:43:52:5f:9a,tcs-m-125.wifi.local.cmu.edu,172.26.234.44,125,DU,Floor 1,167,W1,
15,390028000547363332363639,114-0-131-20,e0:4f:43:52:5f:ba,tcs-m-126.wifi.local.cmu.edu,172.26.234.45,126,DV,Floor 1,166,W1,
16,210020000b47363330353437,114-0-131-05,e0:4f:43:52:5e:f5,tcs-m-127.wifi.local.cmu.edu,172.26.234.46,127,DW,Floor 1,150-1,C1,Outside rm 165
17,250034000b47363330353437,114-0-131-06,e0:4f:43:52:5f:51,tcs-m-128.wifi.local.cmu.edu,172.26.234.47,128,DX,Floor 1,150-1,C2,Outside 166
18,1d002c000547363332363639,114-0-131-11,e0:4f:43:52:61:af,tcs-m-129.wifi.local.cmu.edu,172.26.234.48,129,DY,Floor 1,150-1,C5,Outside 164
19,180027000547363332363639,114-01-131-12,e0:4f:43:52:61:81,tcs-m-130.wifi.local.cmu.edu,172.26.234.49,130,DZ,Floor 1,150-1,C6,Outside 163
20,23001f000147343337373738,114-01-131-14,6c:0b:84:59:7b:80,tcs-m-131.wifi.local.cmu.edu,172.26.234.50,131,EA,Floor 1,150-1,C10,Outside 161
21,1c0023000547363332363639,114-01-131-13,e0:4f:43:52:62:06,tcs-m-132.wifi.local.cmu.edu,172.26.234.51,132,EB,Floor 1,150-1,C9,Outside 172
22,20003b000c47363330353437,114-01-131-10,e0:4f:43:52:5f:49,tcs-m-135.wifi.local.cmu.edu,172.26.234.52,135,EE,Floor 1,150-1,C8,Outside 171
23,1f0036000547363332363639,114-01-131-09,e0:4f:43:52:62:44,tcs-m-136.wifi.local.cmu.edu,172.26.234.53,136,EF,Floor 1,150-1,C7,Outside 170
24,30002a000247343337373738,114-01-131-07,6c:0b:84:59:7a:58,tcs-m-138.wifi.local.cmu.edu,172.26.234.54,138,EH,Floor 1,150-1,C3,Outside 167
25,350045000247343337373738,114-01-131-08,6c:0b:84:59:7b:85,tcs-m-141.wifi.local.cmu.edu,172.26.234.55,141,EK,Floor 1,150-1,C4,Room Center
26,37002d001647343339383037,114-01-132-03,6c:0b:84:59:7a:e3,tcs-m-142.wifi.local.cmu.edu,172.26.234.56,142,EL,Floor 1,HALL 100,HC1,Outside Elevator
27,390037000547363332363639,114-01-132-04,e0:4f:43:52:5e:16,tcs-m-145.wifi.local.cmu.edu,172.26.234.57,145,EO,Floor 1,HALL 100,HC2,Outside 108/Stairs
28,350046000247343337373738,114-01-131-23,6c:0b:84:59:7b:7a,tcs-m-146.wifi.local.cmu.edu,172.26.234.58,146,EP,Floor 1,150-1,C11,Reception Desk
29,3e0022000247343337373738,114-01-132-05,6c:0b:84:59:76:5a,tcs-m-147.wifi.local.cmu.edu,172.26.234.59,147,EQ,Floor 1,HALL 100,HC3,Outside 101
30,2e0019000547363332363639,114-01-132-06,e0:4f:43:52:60:1d,tcs-m-148.wifi.local.cmu.edu,172.26.234.60,148,ER,Floor 1,HALL 100,HC4,Outside 102
31,450031000647363332363639,114-01-132-08,e0:4f:43:52:61:f1,tcs-m-149.wifi.local.cmu.edu,172.26.234.61,149,ES,Floor 1,HALL 100,HC5,Outside 103
32,1c0022000547363332363639,114-01-132-09,e0:4f:43:52:62:3c,tcs-m-153.wifi.local.cmu.edu,172.26.234.62,153,EW,Floor 1,HALL 100,HC6,Outside 105
33,1d0029000547363332363639,114-01-132-07,e0:4f:43:52:61:d4,tcs-m-154.wifi.local.cmu.edu,172.26.234.63,154,EX,Floor 1,HALL 100,HC7,Outside 106/Stairs
34,28001c000b47363330353437,114-02-231-02,e0:4f:43:52:61:21,tcs-m-155.wifi.local.cmu.edu,172.26.234.64,155,EY,Floor 2,240,C1,
35,3f0020000c47363330353437,114-02-231-01,e0:4f:43:52:60:15,tcs-m-156.wifi.local.cmu.edu,172.26.234.65,156,EZ,Floor 2,240,W1,
36,380020000547363332363639,114-02-231-04,e0:4f:43:52:5f:8b,tcs-m-157.wifi.local.cmu.edu,172.26.234.66,157,FA,Floor 2,241,C1,
37,380021000547363332363639,114-02-231-03,e0:4f:43:52:5f:9b,tcs-m-158.wifi.local.cmu.edu,172.26.234.67,158,FB,Floor 2,241,W1,
38,370020000247343337373738,114-02-231-06,6c:0b:84:59:76:e6,tcs-m-173.wifi.local.cmu.edu,172.26.234.68,173,FQ,Floor 2,242,C1,
39,37003f000247343337373738,114-02-231-05,6c:0b:84:59:76:3a,tcs-m-174.wifi.local.cmu.edu,172.26.234.69,174,FR,Floor 2,242,W1,
40,1b002c000447343339373536,114-02-231-08,6c:0b:84:59:74:e8,tcs-m-175.wifi.local.cmu.edu,172.26.234.70,175,FS,Floor 2,243,C1,
41,1b0025000447343339373536,114-02-231-07,6c:0b:84:59:75:0b,tcs-m-176.wifi.local.cmu.edu,172.26.234.71,176,FT,Floor 2,243,W1,
42,2c001e000247343337373738,114-02-231-10,6c:0b:84:59:79:e6,tcs-m-183.wifi.local.cmu.edu,172.26.234.72,183,GA,Floor 2,244,C1,
43,2c0044001547343339383037,114-02-231-09,6c:0b:84:59:79:b0,tcs-m-184.wifi.local.cmu.edu,172.26.234.73,184,GB,Floor 2,244,W1,
44,360032001647343339383037,114-02-231-12,6c:0b:84:59:79:e0,tcs-m-185.wifi.local.cmu.edu,172.26.234.74,185,GC,Floor 2,245,C1,
45,380030000247343337373738,114-02-231-11,6c:0b:84:59:76:8c,tcs-m-186.wifi.local.cmu.edu,172.26.234.75,186,GD,Floor 2,245,W1,
46,380027000247343337373738,114-02-231-14,6c:0b:84:59:76:c5,tcs-m-187.wifi.local.cmu.edu,172.26.235.148,187,GE,Floor 2,246,C1,
47,2a0023000147343337373738,114-02-231-13,6c:0b:84:59:74:8e,tcs-m-194.wifi.local.cmu.edu,172.26.235.146,194,GL,Floor 2,246,W1,
48,2d0048000147343337373738,114-02-231-16,6c:0b:84:59:74:84,tcs-m-195.wifi.local.cmu.edu,172.26.235.147,195,GM,Floor 2,247,C1,
49,320023000147343337373738,114-02-231-15,6c:0b:84:59:76:7d,tcs-m-201.wifi.local.cmu.edu,172.26.234.76,201,GS,Floor 2,247,W1,
50,360026000247343337373738,114-02-231-18,6c:0b:84:59:78:2a,tcs-m-202.wifi.local.cmu.edu,172.26.234.77,202,GT,Floor 2,248,C1,
51,33001e000247343337373738,114-02-231-17,6c:0b:84:59:79:89,tcs-m-203.wifi.local.cmu.edu,172.26.234.78,203,GU,Floor 2,248,W1,
52,270030000147343337373738,114-02-231-22,6c:0b:84:59:76:73,tcs-m-204.wifi.local.cmu.edu,172.26.234.79,204,GV,Floor 2,251,C1,
53,3c0024000247343337373738,114-02-231-21,6c:0b:84:59:77:c1,tcs-m-205.wifi.local.cmu.edu,172.26.234.80,205,GW,Floor 2,251,C2,
